"id";"content";"point";"q_id"
5;"40-49 years";"5";8
6;"50-59 years";"4";8
7;"60-69 years";"3";8
8;">=70 years";"2";8
37;"I am fine";"3";7
38;"Full of energy";"5";7
39;"Tired";"2";7
40;"Exhausted";"1";7
41;"20";"5";9
42;"22";"4";9
43;"29";"1";9
44;"30";"0";9
45;"<25.4";"5";10
46;"25.4-29.7";"1";10
47;"> 29.7";"0";10
48;"";"0";10
73;"Yes, a lot";"0";11
74;"No";"5";11
75;"Yes, a little";"3";11
76;"I don't understand the question";"0";11
77;"Yes, usually";"0";13
78;"No";"5";13
79;"Yes, sometimes";"3";13
80;"Not sure";"0";13
89;"Yes, always";"0";12
90;"No";"5";12
91;"Yes, sometimes";"3";12
92;"Not sure";"0";12
93;"Yes, a lot";"0";14
94;"No";"5";14
95;"Yes, a little";"3";14
96;"Not sure";"0";14
97;"Always";"5";15
98;"No";"1";15
99;"Sometimes";"3";15
100;"Not sure";"0";15
105;"a1";"1";17
106;"a2";"2";17
107;"a3";"3";17
108;"a4";"4";17
109;"a1";"1";18
110;"a2";"3";18
111;"a3";"3";18
112;"a4";"4";18
113;"answer 1";"5";19
114;"answer 2";"4";19
115;"answer 3 ";"6";19
116;"answer 4";"0";19
117;"answer 1";"2";20
118;"answer 2";"3";20
119;"answer 3 ";"4";20
120;"answer 4";"4";20
